texto,etiqueta
"Me encantó la conferencia que dieron hoy",1
"Fue muy aburrido",0
"Excelente organización por parte de la universidad",1
"Los ponentes no sabían de lo que hablaban",0
"Gracias por compartir tanta información útil",1
"Muy mal planeado, llegamos y no había nada listo",0
"Qué buena dinámica con los estudiantes",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades ¡Excelente!",1
"Perdí mi tiempo asistiendo",0
"Felicitaciones a los organizadores del evento",1
"Todo fue un caos",0
"Disfruté mucho la charla sobre emprendimiento Qué mal",1
"No había sillas suficientes y todo fue un desastre",0
"Gran trabajo por parte del comité estudiantil",1
"La música estaba demasiado fuerte y no se entendía nada ¡Excelente!",0
"Gracias por fomentar la participación estudiantil ¡Excelente!",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable",1
"Todo fue un desorden total Qué mal",0
"Muchas gracias por la invitación, excelente todo",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien ¡Qué bien!",1
"Los organizadores nunca aparecieron ¡Excelente!",0
"Una experiencia muy gratificante",1
"Ninguna autoridad estuvo presente",0
"Aprendí cosas nuevas",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos",1
"Faltó información en redes sobre el programa",0
"Me motivó mucho la historia del ponente ¡Excelente!",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil",1
"Hubo mala señal de internet durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena ¡Excelente!",1
"No hubo refrigerios ni agua para los asistentes",0
"Actividades como estas mejoran la calidad educativa Gracias",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes ¡Qué bien!",1
"Las salas eran muy pequeñas para tanta gente",0
"Gracias por un evento tan inspirador Gracias",1
"La transmisión en vivo nunca funcionó",0
"Me encantó la conferencia que dieron hoy",1
"No me gustó el evento",0
"Excelente organización por parte de la universidad Gracias",1
"Los ponentes no sabían de lo que hablaban Qué mal",0
"Gracias por compartir tanta información útil",1
"Muy mal planeado llegamos y no había nada listo",0
"Qué buena dinámica con los estudiantes",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades",1
"Perdí mi tiempo asistiendo",0
"Felicitaciones a los organizadores del evento",1
"No tenían control en la entrada, todo fue un caos",0
"Disfruté mucho la charla sobre emprendimiento ¡Qué bien!",1
"No había sillas suficientes y todo fue un desastre",0
"Gran trabajo por parte del comité estudiantil ¡Excelente!",1
"La música estaba demasiado fuerte y no se entendía nada",0
"Gracias por fomentar la participación estudiantil",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable ¡Excelente!",1
"Todo fue un desorden total",0
"Muchas gracias por la invitación excelente todo Gracias",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes ¡Qué bien!",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien",1
"Los organizadores nunca aparecieron",0
"Una experiencia muy gratificante",1
"Ninguna autoridad estuvo presente Qué mal",0
"Aprendí cosas nuevas, gracias por la oportunidad",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos ¡Excelente!",1
"Faltó información en redes sobre el programa Qué mal",0
"Me motivó mucho la historia del ponente",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil Gracias",1
"Hubo mala señal de internet durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena",1
"No hubo atención para los invitados",0
"Actividades como estas mejoran la calidad educativa",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes",1
"Las salas eran muy pequeñas para tanta gente",0
"Gracias por un evento tan inspirador",1
"La transmisión en vivo nunca funcionó",0
"Me encantó la conferencia que dieron hoy",1
"No me gustó el evento fue muy aburrido",0
"Excelente organización por parte de la universidad ¡Qué bien!",1
"Los ponentes no sabían de lo que hablaban",0
"Gracias por compartir tanta información útil ¡Excelente!",1
"Muy mal planeado llegamos y no había nada listo",0
"En horabuena felicidades",1
"La atención del personal fue pésima",0
"Me parece muy interesante este tipo de actividades",1
"Perdí mi tiempo asistiendo Qué mal",0
"Felicitaciones a los organizadores del evento",1
"No tenían control en la entrada todo fue un caos",0
"Disfruté mucho la charla sobre ideas y comunicación",1
"Nadie dio la bienvenida a los invitados estuvo pésimo",0
"Gran trabajo por parte del comité estudiantil ¡Excelente!",1
"Se escuchaba muy mal el micrófono",0
"Gracias por tener la iniciativa",1
"No hubo puntualidad en ninguna de las actividades",0
"Me pareció muy enriquecedor el foro ¡Qué bien!",1
"No hubo espacio suficiente para todos",0
"El evento fue una experiencia inolvidable",1
"Todo fue un desorden total Qué mal",0
"Muchas gracias por la invitación excelente todo"",1
"La logística fue un fracaso",0
"Me encantó participar en los talleres",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó sobre a dónde ir",0
"La presentación de los alumnos estuvo muy bien",1
"Los organizadores nunca aparecieron",0
"Una experiencia muy gratificante ¡Qué bien!",1
"Ninguna autoridad estuvo presente Qué mal",0
"Aprendí cosas nuevas gracias por la oportunidad",1
"Las actividades se retrasaron más de una hora",0
"Una jornada muy enriquecedora para todos ¡Qué bien!",1
"Fue muy difícil encontrar el lugar",0
"Espero que sigan haciendo este tipo de eventos ¡Qué bien!",1
"Faltó información en redes sobre el programa Qué mal",0
"Mucha motivación para lo oyentes",1
"El sonido estaba fatal y no se entendía nada",0
"Una iniciativa muy positiva para la comunidad estudiantil",1
"No hubo buena comunicación durante toda la actividad",0
"Los temas fueron tratados de forma clara y amena Gracias",1
"No hubo ninguna atención para los asistentes",0
"Actividades como estas mejoran la calidad educativa",1
"La entrada fue desorganizada y tardada",0
"Las exposiciones estuvieron excelentes",1
"Muy mal todo",0
"Gracias por un evento tan inspirador",1
"No entendí nungún tema expuesto",0
"Me encantó la actividad de hoy",1
"Mala actitud",0
"Excelente organización por parte de la universidad",1
"Inexpertos en los temas",0
"Gracias por compartir tanta información útil ¡Excelente!",1
"Sin diversión",0
"Qué buena oportunidad para los estudiantes",1
"Nada que ver",0
"Interesante me gustó",1
"Mala organizacion y mal ambiente",0
"Felicitaciones a los organizadores del evento",1
"Horrible mi experiencia",0
"Disfruté mucho la charla",1
"Falta de interés",0
"Gran trabajo aplausos",1
"No se entendía nada",0
"Muy bien todo gracias",1
"No hubo puntualidad",0
"Muy bien", 1
"No hubo nada interesante",0
"El evento fue muy bueno",1
"Desorden total",0
"Muchas gracias por la invitación, excelente todo ¡Qué bien!",1
"Cero coordinación",0
"Me encantó",1
"Hubo muchos problemas técnicos",0
"Los temas tratados fueron muy relevantes",1
"Nadie nos orientó",0
"Los organizadores fueron muy atentos gracias",1
